,summary,Sommer,Herbst,Frühling,Winter,word
Youtube-Star,7.7532488072844306,1.1472079299867701,-1.2878249554109191,-1.2940921156068843,-1.4902554723603563,Youtube-Star
kopf youtube-star,3.907103838798628,0.8956195244396726,-0.6025093922952017,-0.608776552491167,-0.8049399092446392,kopf youtube-star
Seinem,3.232748024621654,0.7674524796784379,-0.4130455560875428,-0.41931271628350797,-0.6154760730369802,Seinem
ge+sterb+en sein+em,2.6254059721994656,0.5649974683954687,-0.20494853910745908,-0.21121569930342443,-0.40737905605689645,ge+sterb+en sein+em
Youtube-Kanal,7.080857470977106,1.1255173694376672,-1.1971080110380294,-1.203375171233995,-1.399538527987467,Youtube-Kanal
sein+em youtube-kanal,3.429317320596316,0.8118643389699349,-0.4720742084181574,-0.4783413686141229,-0.674504725367595,sein+em youtube-kanal
youtube-kanal gewitter,15.783787022433083,1.2560311306133998,-1.9986962743182821,-2.0049634345142477,-2.2011267912677197,youtube-kanal gewitter
kopf folg+ten,3.334076054575835,0.7912454046333289,-0.4439085948247084,-0.45017575502067386,-0.6463391117741459,kopf folg+ten
folg+ten zwei,3.1516523351887304,0.7468559132023063,-0.387639865108303,-0.39390702530426824,-0.5900703820577404,folg+ten zwei
nun jan,3.34906085133302,0.7945960910836989,-0.4483929625937999,-0.45466012278976536,-0.6508234795432374,nun jan
zimmermann alter,3.6141991999083922,0.8477575038502212,-0.5245833085533358,-0.530850468749301,-0.7270138255027733,zimmermann alter
jahr+en überrasch+end,2.63477606331029,0.5692363408633364,-0.20851119186676928,-0.2147783520627347,-0.41094170881620684,jahr+en überrasch+end
überrasch+end versterb+en,2.665475407494025,0.5827941625993699,-0.22009542995780534,-0.22636259015377072,-0.42252594690724277,überrasch+end versterb+en
hin+zu+füg+en sein+em,2.6254059721994656,0.5649974683954687,-0.20494853910745908,-0.21121569930342443,-0.40737905605689645,hin+zu+füg+en sein+em
Trauer,4.595182506095203,0.4623419434459887,-0.7647214723750712,-0.7709886325710366,0.08563935150200347,Trauer
trauer jan,3.396528545114121,0.8049438187637097,-0.4624668928330649,-0.4687340530290305,-0.6648974097825026,trauer jan
youtube-star sterb+t,3.0554259310917242,0.7203826493809871,-0.3566320028305482,-0.36289916302651365,-0.5590625197799856,youtube-star sterb+t
sterb+t jahr+en,2.9930882192728747,0.7019134308861386,-0.3360187025818375,-0.3422858627778028,-0.5384492195312749,sterb+t jahr+en
jahr+en auf,2.6135019639999153,0.5595420821981212,-0.20040406959911397,-0.20667122979507932,-0.40283458654855153,jahr+en auf
auf youtube-kanal,4.709947662649135,0.989380309822933,-0.789389794948401,-0.7956569551443664,-0.9918203118978384,auf youtube-kanal
kopf klär+t,2.680547236795705,0.5892715371715109,-0.22573396545836755,-0.23200112565433287,-0.428164482407805,kopf klär+t
klär+t jan,2.696639883813307,0.596062494477641,-0.23171950946202757,-0.23798666965799278,-0.434150026411465,klär+t jan
jahrelang,3.319173399145976,0.7878717559275463,-0.43942877471373964,-0.44569593490970527,-0.6418592916631773,jahrelang
zimmermann jahrelang,2.481965913300103,0.4934679111466361,-0.14876395207241,-0.1550311122683754,-0.3511944690218476,zimmermann jahrelang
jahrelang leben,2.3926184773875696,0.44145751213077417,-0.11210136239396717,-0.11836852258993248,-0.3145318793434046,jahrelang leben
27-Jährige,4.652796239313673,0.984015903643671,-0.7771813795995334,-0.7834485397954988,-0.9796118965489709,27-Jährige
nun 27-jährig+e,2.356644909487365,0.4185594411344461,-0.09695195796007892,-0.10321911815604427,-0.2993824749095163,nun 27-jährig+e
27-jährig+e tot,2.389252193973517,0.43936585945947754,-0.11069342637834433,-0.11696058657430967,-0.3131239433277819,27-jährig+e tot
wohnung auf+ge+find+en,3.9063647873877736,0.8955104179063329,-0.6023202185880004,-0.6085873787839656,-0.8047507355374377,wohnung auf+ge+find+en
jahr+en jan,3.1080373873909997,0.7351464117697499,-0.37370446078403513,-0.3799716209800004,-0.5761349777334726,jahr+en jan
zimmermann klär+te,3.0951827111842993,0.7316053780087843,-0.36955993764834216,-0.37582709784430757,-0.5719904545977798,zimmermann klär+te
klär+te youtub+e,2.665475407494025,0.5827941625993699,-0.22009542995780534,-0.22636259015377072,-0.42252594690724277,klär+te youtub+e
Tourette,5.557197087258763,1.0536733441195323,-0.9548068591000576,-0.961074019296023,-1.1572373760494952,Tourette
youtub+e tourett+e,2.3926184773875696,0.44145751213077417,-0.11210136239396717,-0.11836852258993248,-0.3145318793434046,youtub+e tourett+e
Getty,2.4879845844707935,0.4967456742196855,-0.15118597785138785,-0.1574531380473531,-0.35361649480082535,Getty
foto getty,2.4879845844707935,0.4967456742196855,-0.15118597785138785,-0.1574531380473531,-0.35361649480082535,foto getty
Images,2.5290108745972244,0.5184008589295998,-0.1675412665838477,-0.17380842677981306,-0.3699717835332851,Images
getty image+s,2.5290108745972244,0.5184008589295998,-0.1675412665838477,-0.17380842677981306,-0.3699717835332851,getty image+s
image+s auf,2.6135019639999153,0.5595420821981212,-0.20040406959911397,-0.20667122979507932,-0.40283458654855153,image+s auf
